Date,Open,High,Low,Close
"Oct 15, 2015",252.11,255.96,252.05,254.32
"Oct 16, 2015",254.3,266.14,253.93,262.87
"Oct 17, 2015",262.75,273.58,262.37,270.64
"Oct 18, 2015",270.91,271.67,260.78,261.64
"Oct 19, 2015",261.86,264.82,260.95,263.44
"Oct 20, 2015",263.57,270.83,263.23,269.46
"Oct 21, 2015",269.31,270.77,263.84,266.27
"Oct 22, 2015",266.5,276.51,266.14,274.02
"Oct 23, 2015",273.65,278.68,273.54,276.5
"Oct 24, 2015",276.5,281.71,276.5,281.65
"Oct 25, 2015",281.45,294.06,281.45,283.68
"Oct 26, 2015",283.63,285.3,280.51,285.3
"Oct 27, 2015",285.18,296.21,285.01,293.79
"Oct 28, 2015",293.7,306.33,293.7,304.62
"Oct 29, 2015",304.32,318.17,301.82,313.86
"Oct 30, 2015",313.94,334.17,313.94,328.02
"Oct 31, 2015",328.51,332.78,309.25,314.17
"Nov 01, 2015",315.01,327.47,311.88,325.43
"Nov 02, 2015",325.94,365.36,323.21,361.19
"Nov 03, 2015",361.87,417.9,357.65,403.42
"Nov 04, 2015",403.66,495.56,380.55,411.56
"Nov 05, 2015",408.08,447.56,374.58,386.35
"Nov 06, 2015",388.05,395.84,354.02,374.47
"Nov 07, 2015",374.27,390.59,372.43,386.48
"Nov 08, 2015",384.28,389.89,368.7,373.37
"Nov 09, 2015",374.32,385.28,362.89,380.26
"Nov 10, 2015",379.98,381.39,329.11,336.82
"Nov 11, 2015",339.82,340.58,301.0,311.08
"Nov 12, 2015",314.08,345.08,313.36,338.15
"Nov 13, 2015",338.5,340.91,326.08,336.75
"Nov 14, 2015",336.62,338.18,329.97,332.91
"Nov 15, 2015",333.05,334.66,317.49,320.17
"Nov 16, 2015",319.73,331.63,315.9,330.75
"Nov 17, 2015",330.36,338.35,329.61,335.09
"Nov 18, 2015",334.59,336.53,330.64,334.59
"Nov 19, 2015",334.68,335.33,325.27,326.15
"Nov 20, 2015",326.41,326.47,312.22,322.02
"Nov 21, 2015",322.09,328.16,319.6,326.93
"Nov 22, 2015",326.98,327.01,321.26,324.54
"Nov 23, 2015",324.35,325.12,321.29,323.05
"Nov 24, 2015",323.01,323.06,318.12,320.05
"Nov 25, 2015",320.05,329.13,316.77,328.21
"Nov 26, 2015",328.3,366.76,328.23,352.68
"Nov 27, 2015",351.86,363.59,347.87,358.04
"Nov 28, 2015",357.14,359.54,352.17,357.38
"Nov 29, 2015",357.47,371.94,355.67,371.29
"Nov 30, 2015",371.44,382.36,370.38,377.32
"Dec 01, 2015",377.41,378.93,356.56,362.49
"Dec 02, 2015",361.85,362.23,349.46,359.19
"Dec 03, 2015",359.33,370.27,357.41,361.05
"Dec 04, 2015",361.26,363.52,355.76,363.18
"Dec 05, 2015",363.72,389.79,363.23,388.95
"Dec 06, 2015",389.55,402.81,387.09,388.78
"Dec 07, 2015",389.98,399.97,385.41,395.54
"Dec 08, 2015",395.75,415.56,389.95,415.56
"Dec 09, 2015",414.44,423.12,406.29,417.56
"Dec 10, 2015",417.99,419.51,411.55,415.48
"Dec 11, 2015",415.28,451.94,415.28,451.94
"Dec 12, 2015",452.33,469.1,410.74,435.0
"Dec 13, 2015",431.66,441.68,426.27,433.76
"Dec 14, 2015",433.27,447.14,430.46,444.18
"Dec 15, 2015",443.88,465.32,443.88,465.32
"Dec 16, 2015",465.21,465.21,443.85,454.93
"Dec 17, 2015",454.78,457.86,448.86,456.08
"Dec 18, 2015",455.85,465.18,454.94,463.62
"Dec 19, 2015",463.55,465.58,456.77,462.32
"Dec 20, 2015",462.23,462.64,434.34,442.68
"Dec 21, 2015",442.84,444.73,427.31,438.64
"Dec 22, 2015",437.44,443.69,435.52,436.57
"Dec 23, 2015",436.72,444.53,436.62,442.4
"Dec 24, 2015",443.09,458.46,443.08,454.98
"Dec 25, 2015",454.86,458.3,452.08,455.65
"Dec 26, 2015",455.76,457.49,405.76,417.27
"Dec 27, 2015",416.51,424.01,408.88,422.82
"Dec 28, 2015",423.34,429.77,418.48,422.28
"Dec 29, 2015",422.1,432.98,420.63,432.98
"Dec 30, 2015",433.3,434.39,422.08,426.62
"Dec 31, 2015",425.88,432.92,418.73,430.57
"Jan 01, 2016",430.72,436.25,427.52,434.33
"Jan 02, 2016",434.62,436.06,431.87,433.44
"Jan 03, 2016",433.58,433.74,424.71,430.01
"Jan 04, 2016",430.06,434.52,429.08,433.09
"Jan 05, 2016",433.07,434.18,429.68,431.96
"Jan 06, 2016",431.86,431.86,426.34,429.11
"Jan 07, 2016",430.01,458.77,429.08,458.05
"Jan 08, 2016",457.54,462.93,447.94,453.23
"Jan 09, 2016",453.38,454.64,446.89,447.61
"Jan 10, 2016",448.24,448.31,440.35,447.99
"Jan 11, 2016",448.7,450.66,443.86,448.43
"Jan 12, 2016",448.18,448.18,435.69,435.69
"Jan 13, 2016",434.67,435.19,424.44,432.37
"Jan 14, 2016",432.29,433.32,427.85,430.31
"Jan 15, 2016",430.26,430.26,364.33,364.33
"Jan 16, 2016",365.07,390.56,354.91,387.54
"Jan 17, 2016",387.15,390.96,380.09,382.3
"Jan 18, 2016",381.73,388.1,376.67,387.17
"Jan 19, 2016",387.03,387.73,378.97,380.15
"Jan 20, 2016",379.74,425.27,376.6,420.23
"Jan 21, 2016",419.63,422.88,406.3,410.26
"Jan 22, 2016",409.75,410.41,375.28,382.49
"Jan 23, 2016",382.43,394.54,381.98,387.49
"Jan 24, 2016",388.1,405.48,387.51,402.97
"Jan 25, 2016",402.32,402.32,388.55,391.73
"Jan 26, 2016",392.0,397.77,390.58,392.15
"Jan 27, 2016",392.44,396.84,391.78,394.97
"Jan 28, 2016",395.15,395.5,379.73,380.29
"Jan 29, 2016",380.11,384.38,365.45,379.47
"Jan 30, 2016",378.86,380.92,376.49,378.26
"Jan 31, 2016",378.29,380.35,367.83,368.77
"Feb 01, 2016",369.35,378.07,367.96,373.06
"Feb 02, 2016",372.92,375.88,372.92,374.45
"Feb 03, 2016",374.65,374.95,368.05,369.95
"Feb 04, 2016",370.17,391.61,369.99,389.59
"Feb 05, 2016",388.9,391.09,385.57,386.55
"Feb 06, 2016",386.59,386.63,372.39,376.52
"Feb 07, 2016",376.51,380.87,374.9,376.62
"Feb 08, 2016",376.76,379.88,373.33,373.45
"Feb 09, 2016",373.42,377.25,372.9,376.03
"Feb 10, 2016",376.15,385.48,375.78,381.65
"Feb 11, 2016",382.11,383.13,376.4,379.65
"Feb 12, 2016",379.69,384.95,379.6,384.26
"Feb 13, 2016",384.64,391.86,384.64,391.86
"Feb 14, 2016",392.93,407.23,392.93,407.23
"Feb 15, 2016",407.57,410.38,397.75,400.18
"Feb 16, 2016",401.43,408.95,401.43,407.49
